Date,Rate_Change_bps,Event,EuroStoxx50_Cumulative_%,EURUSD_Cumulative_%,EuroStoxx50_Abs_Reaction,EURUSD_Abs_Reaction
2022-07-21,50,First rate hike of the tightening cycle,0.2522703927017256,0.7481794023119104,0.2522703927017256,0.7481794023119104
2022-09-08,75,75 bp acceleration in monetary tightening,1.9970672210158025,0.6007221266532303,1.9970672210158025,0.6007221266532303
2022-10-27,75,Third consecutive major rate increase,0.7652859734930129,0.8223406564255686,0.7652859734930129,0.8223406564255686
2022-12-15,50,"Slower 50 bp hike, but restrictive guidance",-4.585348635669096,0.9374365320932165,4.585348635669096,0.9374365320932165
2023-03-16,50,50 bp hike amid financial market tensions,-2.7391085167394746,-1.033813056233035,2.7391085167394746,1.033813056233035
2023-09-14,25,Final hike of the tightening cycle,1.2441401634797788,-1.0530746659844992,1.2441401634797788,1.0530746659844992
2024-06-06,-25,First rate cut after nine months on hold,1.9772385081100907,-0.11875697967752563,1.9772385081100907,0.11875697967752563
2024-09-12,-25,Second 25 bp cut,2.038886819183916,0.3655706495413247,2.038886819183916,0.3655706495413247
